Cumulative Probability of Moveout
0.06
0.12
0.19
0.25
0.30
0.34
0.38
0.42
0.46
0.49
0.52
0.55
0.57
0.60
0.63
0.65
0.67
0.70
0.73
0.75
0.77
0.79
0.82
0.83
0.87
0.88
0.90
0.94
0.95
0.99
